Day fraction since midnight on	pH probe (pH)
0.6374130643	7.285725117
0.637424644	7.284282684
0.6374362224	7.288972855
0.6374477854	7.286426544
0.6374593647	7.280230999
0.6374709334	7.293388844
0.6374825105	7.296836853
0.6374940803	7.291104317
0.6375056597	7.285245419
0.6375172305	7.277575493
0.6375288099	7.286299229
0.6375403854	7.284646034
0.6375519521	7.29708004
0.6375635361	7.287770748
0.6375751028	7.293982506
0.6375866727	7.280435562
0.6375982514	7.291422844
0.6376098192	7.281731129
0.6376214037	7.285027504
0.6376329729	7.273365021
0.6376445455	7.281875134
0.6376561206	7.273217678
0.6376677102	7.274889469
0.6376792688	7.279392242
0.6376908485	7.271195412
0.6377024238	7.270147324
0.637713991	7.240298748
0.6377255677	7.245456219
0.6377371527	7.227832794
0.6377487132	7.238554001
0.6377602861	7.220275402
0.6377718581	7.240748882
0.6377834474	7.217621803
0.6377950224	7.242985249
0.6378065796	7.196832657
0.6378181728	7.224544048
0.6378297331	7.280039787
0.6378413211	7.351869583
0.6378528738	7.216983318
0.637864458	7.281774998
0.637876021	7.275794029
0.6378875986	7.308192253
0.6378991765	7.293348789
0.6379107541	7.262861729
0.6379223231	7.317630291
0.6379338918	7.304003239
0.6379454699	7.313225269
0.637957047	7.196637154
0.6379686181	7.262751102
0.6379802077	7.282483578
0.637991769	7.27264595
0.6380033401	7.186075687
0.6380149152	7.274107933
0.6380265003	7.297981739
0.6380380638	7.30702877
0.6380496313	7.147233963
0.6380612168	7.230630398
0.6380727835	7.149644852
0.6380843574	7.257192135
0.6380959368	7.255212784
0.6381075071	7.16437912
0.6381190961	7.138969898
0.6381306614	7.257353783
0.6381422236	7.165296555
0.6381538173	7.203343391
0.6381653848	7.14232254
0.6381769548	7.21354723
0.6381885232	7.178843498
0.6382000952	7.102419853
0.6382116789	7.175924778
0.6382232411	7.166664124
0.6382348257	7.115714073
0.6382463937	7.151929855
0.6382579673	7.147233963
0.638269542	7.208168984
0.6382811198	7.172581673
0.6382926914	7.075002194
0.6383042683	7.124526024
0.6383158384	7.075865746
0.6383274135	7.129631519
0.6383389901	7.214133263
0.6383505673	7.161117554
0.6383621393	7.056633949
0.6383737142	7.168730259
0.6383852901	7.167368412
0.6383968596	7.046181679
0.6384084365	7.023526669
0.6384200069	7.148961067
0.6384315744	7.09423399
0.6384431523	7.024144173
0.6384547218	7.108698368
0.6384662963	7.132356644
0.6384778736	7.033083439
0.6384894563	7.112352848
0.6385010221	7.104848385
0.6385125953	7.085690498
0.6385241783	7.102777958
0.638535752	7.096174717
0.6385473221	7.047393799
0.6385588986	7.021964073
0.6385704773	7.099562168
0.6385820421	7.004515648
0.6385936241	7.041713238
0.6386051865	7.080147743
0.6386167573	7.085778713
0.6386283529	6.975485802
0.6386399095	6.988025188
0.6386514872	7.112171173
0.6386630627	6.980631828
0.6386746334	7.043033123
0.6386862222	7.060190678
0.638697785	6.99036932
0.6387093566	7.049510002
0.6387209431	6.974593639
0.6387325201	6.999346733
0.638744092	6.971328259
0.6387556553	6.972313404
0.6387672401	7.006793499
0.638778804	7.003112316
0.6387903724	6.99409008
0.6388019528	6.997253895
0.6388135317	6.972672463
0.6388250919	6.950266361
0.6388366633	6.979701996
0.6388482418	6.944368362
0.6388598258	7.014442444
0.6388713933	6.956567764
0.6388829669	6.951693058
0.6388945537	6.963563919
0.6389061193	7.006476879
0.6389176875	6.967181683
0.6389292609	6.941076756
0.6389408341	6.966844082
0.6389524097	6.986086845
0.6389639816	6.922460556
0.6389755569	6.969069958
0.6389871453	6.91733408
0.6389987068	6.903533936
0.6390102859	6.976051807
0.6390218476	6.970221996
0.6390334262	6.916596413
0.6390450002	6.988161087
0.6390565745	6.971608639
0.639068154	6.943682194
0.6390797277	6.922036171
0.6390913055	6.925688267
0.6391028697	6.967489719
0.6391144405	6.920422554
0.6391260189	6.953065395
0.6391375996	6.889791012
0.639149171	6.931327343
0.6391607392	6.980228901
0.6391723186	6.942035675
0.6391838887	6.938631058
0.6391954576	6.892446995
0.6392070323	6.909014702
0.639218612	6.996944904
0.6392301845	6.929493427
0.639241758	6.878247261
0.6392533383	6.941658497
0.6392649051	6.94447422
0.6392764845	6.887658119
0.6392880548	6.881253719
0.6392996234	6.872030258
0.639311219	6.856969833
0.639322777	6.852411747
0.6393343499	6.838330746
0.6393459194	6.859291077
0.6393575109	6.844242096
0.6393690803	6.821413994
0.6393806433	6.849915028
0.6393922261	6.853693485
0.6394037986	6.837379932
0.6394153791	6.867107868
0.6394269374	6.845142365
0.6394385246	6.865924358
0.6394500938	6.874102593
0.6394616719	6.86029768
0.6394732547	6.843607426
0.6394848253	6.93586874
0.6394963858	6.88590765
0.6395079596	6.840063572
0.6395195428	6.912857056
0.6395311105	6.912082672
0.6395426788	6.852344036
0.6395542552	6.852389813
0.6395658296	6.844396114
0.6395774186	6.862836838
0.6395889809	6.848913193
0.6396005495	6.806852818
0.639612133	6.813725472
0.6396237091	6.816795826
0.6396352782	6.871911526
0.6396468584	6.815183163
0.6396584227	6.812937737
0.639670002	6.845785618
0.6396815765	6.866181374
0.639693142	6.807264328
0.6397047238	6.807172775
0.6397162935	6.862815857
0.6397278704	6.820346832
0.6397394361	6.789123535
0.6397510203	6.814582825
0.6397625855	6.775348187
0.6397741657	6.792900562
0.6397857372	6.793777466
0.6397973107	6.793353081
0.6398088805	6.804155827
0.6398204708	6.787909031
0.639832037	6.765696526
0.6398436104	6.791858196
0.6398551808	6.765632629
0.6398667615	6.81046629
0.6398783254	6.77315712
0.6398898976	6.801760674
0.6399014772	6.76415062
0.6399130564	6.754355907
0.6399246206	6.825761795
0.6399362013	6.835339069
0.6399477788	6.786276341
0.639959355	6.780892849
0.6399709249	6.787543774
0.6399824944	6.83535862
0.6399940663	6.841473103
0.6400056433	6.761217594
0.6400172182	6.794993401
0.6400287857	6.800147057
0.6400403637	6.782402515
0.6400519337	6.80948925
0.6400635138	6.779046536
0.6400750864	6.753181934
0.6400866621	6.744715691
0.6400982393	6.731438637
0.6401098161	6.727818966
0.6401213847	6.762404919
0.6401329595	6.739106178
0.640144535	6.727990627
0.6401561093	6.745436192
0.6401676853	6.74603653
0.6401782155	6.753275394
0.6401908331	6.73499012
0.6402024017	6.758651257
0.6402139721	6.747338772
0.6402255561	6.737305164
0.6402371288	6.726157665
0.6402486979	6.712892056
0.640260266	6.72496891
0.6402718443	6.699035168
0.6402834196	6.701350689
0.6402949976	6.720135212
0.640306571	6.702904701
0.6403181407	6.729283333
0.6403297111	6.762999535
0.6403412935	6.725537777
0.6403528701	6.710699558
0.6403644531	6.687490463
0.6403760096	6.753436565
0.6403875815	6.738064766
0.6403991587	6.725177765
0.640410732	6.719864368
0.6404223078	6.770977974
0.6404338838	6.714096069
0.6404454508	6.703074455
0.6404570322	6.758438587
0.6404686098	6.759931088
0.6404801813	6.720246792
0.6404917545	6.690691948
0.6405033293	6.737854004
0.6405149025	6.785029888
0.6405264758	6.72431612
0.6405380477	6.708611965
0.6405496234	6.741816521
0.6405612	6.794152737
0.6405727645	6.706879139
0.6405843483	6.678536415
0.6405959121	6.723932743
0.6406074858	6.728094101
0.6406190692	6.68908596
0.6406306374	6.66621542
0.6406422188	6.700958729
0.6406538028	6.660284519
0.6406653666	6.705044746
0.6406769301	6.684560299
0.6406885085	6.680886269
0.6407000796	6.722557068
0.6407116698	6.708864212
0.6407232437	6.675251961
0.6407348041	6.727499485
0.6407463833	6.67848444
0.6407579579	6.647777081
0.6407695225	6.717216492
0.640781108	6.691879749
0.6407926714	6.660338879
0.6408042563	6.646595955
0.6408158255	6.681859493
0.6408273914	6.665069103
0.6408389672	6.649666309
0.6408505535	6.663544178
0.6408621159	6.660253525
0.6408737454	6.694118023
0.6408852683	6.644129753
0.6408968461	6.631552219
0.640908419	6.686649323
0.6409199901	6.646970749
0.6409315629	6.642843247
0.6409431409	6.670971394
0.6409547111	6.684084415
0.6409662849	6.629526615
0.6409778771	6.63227272
0.6409893177	6.658620834
0.6410010094	6.660834789
0.6410125876	6.621842861
0.6410241497	6.633841038
0.6410357338	6.600520611
0.6410473031	6.607802391
0.6410588732	6.59457016
0.6410704522	6.610178471
0.6410820205	6.601381779
0.6410936	6.611893654
0.6411051759	6.6159935
0.641116763	6.61976099
0.6411283302	6.607343674
0.6411398937	6.607852936
0.6411514718	6.620041847
0.6411630422	6.63854599
0.6411746234	6.610006809
0.6411861982	6.612477303
0.6411977635	6.604251862
0.641209339	6.593092918
0.6412209122	6.610706806
0.6412324936	6.671863556
0.6412440559	6.67080164
0.6412556407	6.587861538
0.6412672099	6.613577366
0.6412787895	6.641544342
0.6412903641	6.628584385
0.6413019309	6.60705471
0.6413135046	6.621424675
0.6413250925	6.601258278
0.6413366533	6.611589909
0.6413482225	6.590791225
0.6413597976	6.5914464
0.6413713805	6.581223011
0.6413829468	6.605305195
0.6413945291	6.624158859
0.641406102	6.589118004
0.6414176758	6.648907185
0.6414292531	6.586386204
0.6414408149	6.630460739
0.6414523928	6.64076376
0.6414639668	6.604609013
0.6414755372	6.62528038
0.6414871114	6.637624264
0.6414986877	6.645412445
0.6415102664	6.629150391
0.6415218378	6.620643139
0.6415334141	6.628344059
0.6415449846	6.590510845
0.6415565619	6.640523434
0.6415681345	6.612677097
0.6415797097	6.613628388
0.6415912834	6.633654118
0.6416028507	6.604133129
0.6416144342	6.67783308
0.6416260076	6.697452068
0.6416375732	6.599479199
0.6416491505	6.599646092
0.6416607289	6.66263485
0.6416723089	6.621997356
0.6416838682	6.638953686
0.6416954492	6.620530605
0.6417070294	6.551207066
0.6417185963	6.584413052
0.6417301812	6.617108345
0.6417417605	6.591412067
0.6417533135	6.589033127
0.6417648894	6.59530592
0.6417764655	6.627263546
0.6417880362	6.561499119
0.6417996077	6.602179527
0.6418111824	6.590867043
0.6418227665	6.613609314
0.6418343353	6.652729034
0.6418459039	6.595266819
0.641857489	6.618549347
0.6418690587	6.596608639
0.6418806321	6.566051483
0.6418922056	6.629883289
0.6419037808	6.58309269
0.64191536	6.558356762
0.6419269325	6.528190613
0.6419385019	6.574442387
0.6419500791	6.578837395
0.6419616477	6.530936718
0.6419732243	6.576265335
0.6419848129	6.565201283
0.6419963666	6.60048151
0.6420079456	6.627143383
0.6420195255	6.639802933
0.6420310994	6.595453739
0.6420426661	6.649960518
0.6420542358	6.543070316
0.6420658333	6.530138969
0.6420773974	6.582697392
0.6420889692	6.560650349
0.642100539	6.564466
0.6421121114	6.642350674
0.6421236852	6.58616209
0.6421352669	6.578289509
0.6421468292	6.587504387
0.6421584205	6.536502838
0.6421699848	6.608481407
0.6421815603	6.592201233
0.6421931245	6.55268383
0.6422047188	6.611859798
0.6422162801	6.626520634
0.6422278503	6.544411659
0.6422394391	6.592681408
0.6422509981	6.666351318
0.6422625794	6.621328354
0.6422741487	6.610774517
0.6422857354	6.579455853
0.6422972958	6.576667309
0.6423088761	6.677489758
0.6423204503	6.652153492
0.6423320215	6.563357353
0.6423435863	6.587555409
0.642355161	6.614535332
0.6423667418	6.625822544
0.6423783137	6.564437866
0.6423898831	6.560106278
0.6424014789	6.663980484
0.6424130378	6.617601395
0.6424246083	6.579725266
0.6424361945	6.582766533
0.6424477642	6.56018877
0.642459331	6.640754223
0.6424709006	6.545070648
0.6424824753	6.565990448
0.6424940565	6.6239357
0.6425056358	6.553759575
0.6425171981	6.610095024
0.64252878	6.54629755
0.6425403452	6.513345242
0.6425519217	6.549814224
0.6425634928	6.596710205
0.6425750796	6.544462204
0.6425866633	6.497340679
0.6425982237	6.50137043
0.6426098003	6.480015755
0.6426213708	6.477556229
0.6426329548	6.544273377
0.6426445207	6.546161175
0.6426560926	6.545516014
0.6426676594	6.519918442
0.6426792367	6.541940689
0.6426908061	6.592735767
0.6427023905	6.513124466
0.6427139628	6.555775166
0.6427255349	6.584378719
0.6427371037	6.589814663
0.6427486822	6.506483555
0.6427602587	6.60678196
0.6427718257	6.565218926
0.6427834196	6.5438447
0.6427949807	6.4716115
0.6428065697	6.507015705
0.6428181288	6.521616936
0.6428296988	6.48696661
0.6428412793	6.504974365
0.6428528505	6.553061485
0.6428644291	6.5136199
0.6428759903	6.50565052
0.6428875873	6.506775379
0.6428991489	6.516674519
0.6429107226	6.548743248
0.6429222991	6.538869858
0.6429338824	6.522694111
0.6429454441	6.52827549
0.6429570304	6.590811729
0.6429685934	6.545893192
0.6429801681	6.548390389
0.6429917323	6.475467205
0.6430033061	6.457903862
0.6430148916	6.531030655
0.6430264604	6.543307781
0.6430380279	6.483280659
0.6430496128	6.43738842
0.6430611748	6.477709293
0.6430727575	6.496757507
0.6430843268	6.464577198
0.6430959021	6.566470623
0.6431074799	6.52583313
0.6431190522	6.512580872
0.6431306283	6.530035973
0.6431422012	6.49620676
0.643153774	6.496376514
0.6431653494	6.491902828
0.6431769198	6.585194111
0.6431884942	6.511046886
0.6432000691	6.488174915
0.6432116496	6.561907768
0.6432232213	6.549949169
0.6432347963	6.493481159
0.6432463694	6.587623119
0.6432579451	6.524100781
0.6432695126	6.412161827
0.6432810851	6.41054821
0.6432926664	6.442500114
0.6433042388	6.429724693
0.6433158149	6.419165134
0.6433273936	6.40875864
0.6433389549	6.465157032
0.6433505279	6.427483082
0.6433621005	6.460876465
0.6433736797	6.419685364
0.643385258	6.440784454
0.6433968325	6.498747349
0.6434083989	6.40998745
0.6434199693	6.392695904
0.6434315475	6.422711849
0.6434431338	6.433494568
0.6434546906	6.427941322
0.6434662688	6.436513424
0.6434778397	6.453470707
0.6434894193	6.449430466
0.6435009965	6.445930958
0.643512563	6.414437771
0.643524141	6.445210457
0.6435357127	6.435941696
0.6435472998	6.390239716
0.6435588624	6.399626255
0.6435704409	6.400404453
0.6435820043	6.426378727
0.6435935786	6.390695572
0.6436051651	6.383816719
0.6436167369	6.385681152
0.6436283142	6.391364574
0.6436398792	6.386666298
0.6436514607	6.387556553
0.6436630314	6.389491081
0.6436746019	6.381893635
0.6436861794	6.361208439
0.6436977454	6.397740841
0.6437093191	6.397740841
0.643720901	6.387247562
0.6437324788	6.371449471
0.6437440453	6.399150848
0.6437556258	6.406803131
0.6437672011	6.43021822
0.6437787724	6.393040657
0.6437903411	6.37097168
0.6438019213	6.421349526
0.6438134861	6.409851551
0.643825065	6.378362179
0.6438366366	6.406675339
0.6438482068	6.433886051
0.6438597919	6.436187744
0.6438713561	6.375048161
0.6438829507	6.414127827
0.6438945113	6.386491299
0.6439060822	6.339701176
0.6439176603	6.376269341
0.6439292265	6.409817696
0.6439408058	6.413956165
0.6439523893	6.365959644
0.6439639598	6.344559193
0.6439755272	6.361816406
0.643987099	6.368848801
0.6439986755	6.362306118
0.6440102523	6.362623692
0.6440218373	6.417078495
0.6440334008	6.448307037
0.6440449691	6.407083035
0.6440565437	6.337725163
0.6440681332	6.362151623
0.6440796987	6.444264412
0.6440912653	6.426259518
0.6441028445	6.358858109
0.6441144128	6.356652737
0.6441259881	6.425074101
0.6441375621	6.383235455
0.6441491501	6.371997833
0.6441607142	6.397333622
0.6441722887	6.446874142
0.6441838667	6.3995471
0.6441954324	6.432204723
0.6442070131	6.495831013
0.6442185754	6.383779049
0.6442301508	6.375771523
0.6442417234	6.410674095
0.6442533069	6.468419552
0.6442648752	6.414421082
0.6442764563	6.387933731
0.6442880198	6.391936779
0.6442996055	6.45164299
0.6443111719	6.38632679
0.6443227405	6.338325501
0.6443343209	6.317568779
0.6443459013	6.353455067
0.6443574693	6.338296413
0.644369043	6.333892345
0.6443806326	6.409564972
0.6443921894	6.371787071
0.644403771	6.343351364
0.6444153464	6.363712788
0.6444269099	6.401019096
0.6444384862	6.384263039
0.644450065	6.333950996
0.6444616386	6.367778301
0.6444732074	6.396552563
0.6444847861	6.305424213
0.6444963581	6.315768242
0.6445079326	6.287978649
0.6445195076	6.281031609
0.6445310831	6.277944088
0.6445426514	6.284208775
0.6445542276	6.287790299
0.6445657957	6.290799618
0.644577381	6.285079956
0.6445889449	6.282907963
0.6446005241	6.283038616
0.6446121062	6.285268307
0.6446236746	6.299343109
0.6446352472	6.324923515
0.6446468253	6.288784981
0.644658397	6.274595261
0.6446699725	6.261715889
0.6446815448	6.30715704
0.6446931323	6.348206043
0.6447046885	6.255381107
0.644716262	6.266051769
0.64472784	6.35486126
0.6447394162	6.336318493
0.6447509813	6.313441277
0.6447625685	6.324636459
0.6447741436	6.363935947
0.6447857023	6.300464153
0.6447972775	6.255095005
0.6448088555	6.290706158
0.6448204329	6.296276569
0.6448320099	6.279092789
0.6448435777	6.276124001
0.6448551672	6.277377605
0.6448667274	6.252310276
0.6448782966	6.245906353
0.6448898696	6.265592575
0.6449014461	6.289179325
0.6449130257	6.238507271
0.644924602	6.255472183
0.644936168	6.299571037
0.6449477503	6.297756195
0.6449593226	6.282714367
0.6449708901	6.223009586
0.6449824691	6.242864609
0.6449940447	6.265404701
0.6450056077	6.234152317
0.6450172002	6.253276825
0.6450287599	6.263418198
0.6450403505	6.267308235
0.6450519178	6.249892712
0.6450634776	6.254280567
0.6450750635	6.27626276
0.6450866379	6.251441002
0.6450982073	6.22233057
0.6451097755	6.290120125
0.6451213536	6.278904438
0.6451329245	6.259800434
0.6451444994	6.211678505
0.6451560786	6.21346283
0.6451676432	6.268328667
0.6451792336	6.273827076
0.6451907963	6.263299942
0.6452023727	6.225950718
0.6452139475	6.267445564
0.6452255188	6.275801182
0.6452370887	6.261635304
0.6452486673	6.221542358
0.6452602458	6.237203598
0.645271816	6.268955708
0.6452833959	6.236052036
0.6452949729	6.195365429
0.645306552	6.209825993
0.6453181143	6.259121418
0.6453296808	6.215179443
0.6453412546	6.211884022
0.6453528338	6.197252274
0.6453644013	6.231434822
0.6453759898	6.244271278
0.6453875511	6.218338966
0.6453991338	6.226912022
0.6454106978	6.292922974
0.6454222795	6.205485821
0.6454338546	6.180853367
0.6454454262	6.211527824
0.6454569934	6.214092255
0.6454685756	6.199876785
0.6454801615	6.205469132
0.6454917271	6.274476051
0.6455032973	6.218084335
0.6455148854	6.197377205
0.6455264385	6.19697094
0.6455380234	6.242263794
0.6455495883	6.264709473
0.6455611663	6.253671169
0.6455727577	6.235230923
0.6455843139	6.277211189
0.6455958829	6.22900629
0.6456074611	6.217562199
0.645619039	6.212570667
0.6456306206	6.206399441
0.6456421787	6.258748055
0.6456537588	6.237529278
0.645665326	6.264149189
0.6456769048	6.284358978
0.6456884744	6.231027126
0.6457000474	6.175976753
0.6457116291	6.224423885
0.6457232067	6.206000805
0.6457347789	6.164766312
0.6457463586	6.23201704
0.645757923	6.201217651
0.6457694929	6.187221527
0.6457810741	6.212862015
0.6457926413	6.241422176
0.6458042219	6.158107281
0.6458157983	6.202724457
0.6458273632	6.212461948
0.6458389439	6.195949078
0.6458505217	6.154282093
0.6458620879	6.214454651
0.6458736798	6.264461041
0.6458852366	6.235273361
0.6458968071	6.203204632
0.6459083864	6.188401222
0.6459199593	6.253872395
0.6459315354	6.236637116
0.6459431021	6.20238924
0.645954683	6.201180935
0.6459662691	6.266759396
0.6459778251	6.265407085
0.6459894041	6.178572178
0.6460009761	6.154572964
0.6460125511	6.190871239
0.6460241401	6.223686218
0.6460357031	6.198091984
0.6460472684	6.211918354
0.6460588479	6.2220397
0.6460704294	6.274427414
0.6460819902	6.220750809
0.6460935723	6.160604477
0.6461051456	6.2422719
0.6461167339	6.164248467
0.646128286	6.137453556
0.646139866	6.149941921
0.6461514377	6.198482513
0.6461630127	6.175878525
0.6461745944	6.154642582
0.6461861563	6.191348553
0.6461977359	6.204919815
0.6462093125	6.256015301
0.6462208875	6.14558506
0.6462324611	6.209506035
0.6462440316	6.162660122
0.6462556058	6.140472889
0.6462671803	6.133024693
0.6462787532	6.151398659
0.6462903305	6.124194145
0.646301907	6.15438509
0.6463134746	6.136230469
0.6463250523	6.123707295
0.6463366222	6.140646458
0.6463481986	6.114073753
0.6463597758	6.100470543
0.6463713462	6.154489994
0.6463829151	6.150138378
0.6463944986	6.191762924
0.6464060652	6.12437439
0.6464176366	6.102479935
0.6464292095	6.130336285
0.6464407887	6.155482769
0.6464523675	6.113902092
0.6464639414	6.104977131
0.6464755075	6.117801189
0.6464870801	6.146710396
0.6464986622	6.146168232
0.6465102341	6.080891132
0.6465218017	6.095141888
0.6465333987	6.155002594
0.6465449509	6.197599411
0.6465565312	6.164797306
0.6465680979	6.162948608
0.6465796809	6.208162308
0.6465912521	6.199026585
0.6466028408	6.109081745
0.6466144103	6.088653565
0.6466259692	6.145623684
0.6466375469	6.114742756
0.6466491247	6.069971085
0.6466606946	6.087141991
0.646672272	6.154058933
0.6466838386	6.076424122
0.6466954163	6.055321693
0.6467069867	6.058402538
0.6467185664	6.075597763
0.6467301556	6.07257843
0.6467417086	6.077035427
0.6467533046	6.078188419
0.6467648663	6.081944466
0.6467764393	6.076271057
0.6467880145	6.098463535
0.646799578	6.06750679
0.6468111533	6.052491665
0.6468227348	6.06540823
0.6468343082	6.118803024
0.6468458745	6.096857548
0.6468574479	6.075914383
0.6468690238	6.041101933
0.6468806012	6.092391491
0.6468921906	6.092116833
0.6469037457	6.064228058
0.6469153229	6.044000626
0.6469268993	6.060330391
0.6469384706	6.042945385
0.6469500473	6.08650732
0.6469616361	6.043125629
0.646973194	6.084033489
0.6469847737	6.092494011
0.6469963434	6.077579022
0.6470079131	6.076339245
0.6470194854	6.060569763
0.6470310654	6.10474205
0.6470426338	6.065689087
0.6470542115	6.0769701
0.6470657993	6.068359375
0.6470773586	6.090470791
0.6470889375	6.118207932
0.6471005143	6.109064579
0.6471120822	6.113079071
0.6471236553	6.094819069
0.6471352359	6.030687809
0.6471468022	6.085783005
0.6471583757	6.108883381
0.6471699513	6.034188747
0.6471815377	6.123645306
